NAME,Year,Type,Subject,es1,class,percent_total,fs_class_min_out,fs_class_max_out,fs_class_min_in,fs_class_max_in,per,corr_type,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,b,0.327034884,1,2,0,2,100,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,c,0.850290698,2,5,2,4,100,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,d,1.577034884,5,10,5,9,100,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,e,2.688953488,10,20,10,19,100,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,f,15.3125,20,50,20,29,100,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,f,15.3125,20,50,30,49,100,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,g,50.65406977,50,100,50,99,100,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,h,28.59011628,100,200,100,NA,100,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,i,NA,200,500,100,NA,0,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,j,NA,500,1000,100,NA,0,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,k,NA,1000,,100,NA,0,wca_dist,
Latvia ,2001,Total area,Total area,LVA,a,NA,0,1,0,2,0,wca_dist,
Latvia ,2001,Total area,Total area,LVA,b,0.448943171,1,2,0,2,100,wca_dist,
Latvia ,2001,Total area,Total area,LVA,c,3.284814009,2,5,2,4,100,wca_dist,
Latvia ,2001,Total area,Total area,LVA,d,7.969438403,5,10,5,9,100,wca_dist,
Latvia ,2001,Total area,Total area,LVA,e,17.46974513,10,20,10,19,100,wca_dist,
Latvia ,2001,Total area,Total area,LVA,f,31.03842507,20,50,20,29,100,wca_dist,
Latvia ,2001,Total area,Total area,LVA,f,31.03842507,20,50,30,49,100,wca_dist,
Latvia ,2001,Total area,Total area,LVA,g,17.99397691,50,100,50,99,100,wca_dist,
Latvia ,2001,Total area,Total area,LVA,h,9.399921923,100,200,100,NA,100,wca_dist,
Latvia ,2001,Total area,Total area,LVA,i,5.660587809,200,500,100,NA,0,wca_dist,
Latvia ,2001,Total area,Total area,LVA,j,6.734147566,500,1000,100,NA,0,wca_dist,
Latvia ,2001,Total area,Total area,LVA,k,NA,1000,,100,NA,0,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,a,33.09859155,0,1,0,2,57.1,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,b,24.89643745,1,2,0,2,42.9,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,c,29.04929577,2,5,2,4,100,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,d,9.641673571,5,10,5,9,100,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,e,3.314001657,10,20,10,19,100,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,f,NA,20,50,20,29,100,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,g,NA,50,100,30,49,100,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,h,NA,100,200,50,99,100,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,i,NA,200,500,100,NA,100,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,j,NA,500,1000,100,NA,0,wca_dist,
Malta,2001,Agricultural area ,Agricultural area ,MLT,k,NA,1000,,100,NA,0,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,a,NA,0,1,0,2,0,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,b,0.984687111,1,2,0,2,100,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,c,2.669596167,2,5,2,4,100,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,d,5.524072362,5,10,5,9,100,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,e,12.17841369,10,20,10,19,100,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,f,42.64566001,20,50,20,29,100,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,f,42.64566001,20,50,30,49,100,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,g,21.89176033,50,100,50,99,100,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,h,14.10581032,100,200,100,NA,100,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,i,NA,200,500,100,NA,0,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,j,NA,500,1000,100,NA,0,wca_dist,
Netherlands,1999-2000,Agricultural area ,Total area,NLD,k,NA,1000,,100,NA,0,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,a,0.032554905,0,1,0,2,8.8,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,b,0.337203322,1,2,0,2,91.2,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,c,3.640755659,2,5,2,4,100,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,d,11.67796457,5,10,5,9,100,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,e,31.03474514,10,20,10,19,100,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,f,42.83426086,20,50,20,29,100,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,f,42.83426086,20,50,30,49,100,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,g,8.850407322,50,100,50,99,100,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,h,1.422206298,100,200,100,NA,89.3,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,i,0.169998247,200,500,100,NA,10.7,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,j,NA,500,1000,100,NA,0,wca_dist,
Norway,1999,Agricultural area ,Total area,NOR,k,NA,1000,,100,NA,0,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,a,2.780882596,0,1,0,2,37.6,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,b,4.617382845,1,2,0,2,62.4,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,c,12.60038914,2,5,2,4,100,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,d,18.13835072,5,10,5,9,100,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,e,21.3544254,10,20,10,19,100,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,f,15.54272231,20,50,20,29,100,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,f,15.54272231,20,50,30,49,100,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,g,4.851279185,50,100,50,99,100,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,h,2.67894105,100,200,100,NA,13.3,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,i,4.419709389,200,500,100,NA,22,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,j,4.239629906,500,1000,100,NA,21.1,wca_dist,
Poland,2002,Agricultural area ,Total area,POL,k,8.776287465,1000,,100,NA,43.6,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,a,2.821107526,0,1,0,2,30.7,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,b,6.381439037,1,2,0,2,69.3,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,c,10.49664142,2,5,2,4,100,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,d,8.612100124,5,10,5,9,100,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,e,9.683414098,10,20,10,19,100,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,f,9.757764328,20,50,20,29,100,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,f,9.757764328,20,50,30,49,100,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,g,6.950570972,50,100,50,99,100,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,h,45.29696249,100,200,100,NA,100,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,i,NA,200,500,100,NA,0,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,j,NA,500,1000,100,NA,0,wca_dist,
Portugal,1999,Agricultural area ,Total area,PRT,k,NA,1000,,100,NA,0,wca_dist,
Romania,2002,Total area ,Total area ,ROM,a,4.906214093,0,1,0,2,37.7,wca_dist,
Romania,2002,Total area ,Total area ,ROM,b,8.111500433,1,2,0,2,62.3,wca_dist,
Romania,2002,Total area ,Total area ,ROM,c,20.17061799,2,5,2,4,100,wca_dist,
Romania,2002,Total area ,Total area ,ROM,d,11.07896463,5,10,5,9,100,wca_dist,
Romania,2002,Total area ,Total area ,ROM,e,3.918778234,10,20,10,19,100,wca_dist,
Romania,2002,Total area ,Total area ,ROM,f,2.006148858,20,50,20,29,100,wca_dist,
Romania,2002,Total area ,Total area ,ROM,f,2.006148858,20,50,30,49,100,wca_dist,
Romania,2002,Total area ,Total area ,ROM,g,1.682230223,50,100,50,99,100,wca_dist,
Romania,2002,Total area ,Total area ,ROM,h,48.12554554,100,200,100,NA,100,wca_dist,
Romania,2002,Total area ,Total area ,ROM,i,NA,200,500,100,NA,0,wca_dist,
Romania,2002,Total area ,Total area ,ROM,j,NA,500,1000,100,NA,0,wca_dist,
Romania,2002,Total area ,Total area ,ROM,k,NA,1000,,100,NA,0,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,a,NA,0,1,0,2,0,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,b,1.623027811,1,2,0,2,100,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,c,3.857684421,2,5,2,4,100,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,d,9.280426701,5,10,5,9,100,wca_dist,
Sweden,1999-2000,Agricultural area ,Total area,SWE,e,13.80954188,10,20,10,19,100,wca_dist,
